First_name,Last_name,Organization,Address1,Address2,Address3,City,State,Zip,Country_non-US
Lamar,Alexander,Senator,455 Dirksen Senate Office Building,,,Washington,DC,20510,
Kelly,Ayotte,Senator,144 Russell Senate Office Building,,,Washington,DC,20510,
Tammy,Baldwin,Senator,717 Hart Senate Office Building,,,Washington,DC,20510,
John,Barrasso,Senator,307 Dirksen Senate Office Building,,,Washington,DC,20510,
Michael F.,Bennet,Senator,261 Russell Senate Office Building,,,Washington,DC,20510,
Richard,Blumenthal,Senator,706 Hart Senate Office Building,,,Washington,DC,20510,
Roy,Blunt,Senator,260 Russell Senate Office Building,,,Washington,DC,20510,
Cory A.,Booker,Senator,359 Dirksen Senate Office Building,,,Washington,DC,20510,
John,Boozman,Senator,141 Hart Senate Office Building,,,Washington,DC,20510,
Barbara,Boxer,Senator,112 Hart Senate Office Building,,,Washington,DC,20510,
Sherrod,Brown,Senator,713 Hart Senate Office Building,,,Washington,DC,20510,
Richard,Burr,Senator,217 Russell Senate Office Building,,,Washington,DC,20510,
Maria,Cantwell,Senator,511 Hart Senate Office Building,,,Washington,DC,20510,
Shelley Moore,Capito,Senator,172 Russell Senate Office Building,,,Washington,DC,20510,
Benjamin L.,Cardin,Senator,509 Hart Senate Office Building,,,Washington,DC,20510,
Thomas R.,Carper,Senator,513 Hart Senate Office Building,,,Washington,DC,20510,
"Robert P., Jr.",Casey,Senator,393 Russell Senate Office Building,,,Washington,DC,20510,
Bill,Cassidy,Senator,703 Hart Senate Office Building,,,Washington,DC,20510,
Daniel,Coats,Senator,493 Russell Senate Office Building,,,Washington,DC,20510,
Thad,Cochran,Senator,113 Dirksen Senate Office Building,,,Washington,DC,20510,
Susan M.,Collins,Senator,413 Dirksen Senate Office Building,,,Washington,DC,20510,
Christopher A.,Coons,Senator,127 A Russell Senate Office Building,,,Washington,DC,20510,
Bob,Corker,Senator,425 Dirksen Senate Office Building,,,Washington,DC,20510,
John,Cornyn,Senator,517 Hart Senate Office Building,,,Washington,DC,20510,
Tom,Cotton,Senator,124 Russell Senate Office Building,,,Washington,DC,20510,
Mike,Crapo,Senator,239 Dirksen Senate Office Building,,,Washington,DC,20510,
Ted,Cruz,Senator,404 Russell Senate Office Building,,,Washington,DC,20510,
Steve,Daines,Senator,320 Hart Senate Office Building,,,Washington,DC,20510,
Joe,Donnelly,Senator,720 Hart Senate Office Building,,,Washington,DC,20510,
Richard J.,Durbin,Senator,711 Hart Senate Office Building,,,Washington,DC,20510,
Michael B.,Enzi,Senator,379 A Russell Senate Office Building,,,Washington,DC,20510,
Joni,Ernst,Senator,111 Russell Senate Office Building,,,Washington,DC,20510,
Dianne,Feinstein,Senator,331 Hart Senate Office Building,,,Washington,DC,20510,
Deb,Fischer,Senator,454 Russell Senate Office Building,,,Washington,DC,20510,
Jeff,Flake,Senator,413 Russell Senate Office Building,,,Washington,DC,20510,
Al,Franken,Senator,309 Hart Senate Office Building,,,Washington,DC,20510,
Cory,Gardner,Senator,354 Russell Senate Office Building,,,Washington,DC,20510,
Kirsten E.,Gillibrand,Senator,478 Russell Senate Office Building,,,Washington,DC,20510,
Lindsey,Graham,Senator,290 Russell Senate Office Building,,,Washington,DC,20510,
Chuck,Grassley,Senator,135 Hart Senate Office Building,,,Washington,DC,20510,
Orrin G.,Hatch,Senator,104 Hart Senate Office Building,,,Washington,DC,20510,
Martin,Heinrich,Senator,303 Hart Senate Office Building,,,Washington,DC,20510,
Heidi,Heitkamp,Senator,110 Hart Senate Office Building,,,Washington,DC,20510,
Dean,Heller,Senator,324 Hart Senate Office Building,,,Washington,DC,20510,
Mazie K.,Hirono,Senator,330 Hart Senate Office Building,,,Washington,DC,20510,
John,Hoeven,Senator,338 Russell Senate Office Building,,,Washington,DC,20510,
James M.,Inhofe,Senator,205 Russell Senate Office Building,,,Washington,DC,20510,
Johnny,Isakson,Senator,131 Russell Senate Office Building,,,Washington,DC,20510,
Ron,Johnson,Senator,328 Hart Senate Office Building,,,Washington,DC,20510,
Tim,Kaine,Senator,231 Russell Senate Office Building,,,Washington,DC,20510,
"Angus S., Jr.",King,Senator,133 Hart Senate Office Building,,,Washington,DC,20510,
Mark,Kirk,Senator,524 Hart Senate Office Building,,,Washington,DC,20510,
Amy,Klobuchar,Senator,302 Hart Senate Office Building,,,Washington,DC,20510,
James,Lankford,Senator,316 Hart Senate Office Building,,,Washington,DC,20510,
Patrick J.,Leahy,Senator,437 Russell Senate Office Building,,,Washington,DC,20510,
Mike,Lee,Senator,361 A Russell Senate Office Building,,,Washington,DC,20510,
"Joe, III",Manchin,Senator,306 Hart Senate Office Building,,,Washington,DC,20510,
Edward J.,Markey,Senator,255 Dirksen Senate Office Building,,,Washington,DC,20510,
John,McCain,Senator,218 Russell Senate Office Building,,,Washington,DC,20510,
Claire,McCaskill,Senator,730 Hart Senate Office Building,,,Washington,DC,20510,
Mitch,McConnell,Senator,317 Russell Senate Office Building,,,Washington,DC,20510,
Robert,Menendez,Senator,528 Hart Senate Office Building,,,Washington,DC,20510,
Jeff,Merkley,Senator,313 Hart Senate Office Building,,,Washington,DC,20510,
Barbara A.,Mikulski,Senator,503 Hart Senate Office Building,,,Washington,DC,20510,
Jerry,Moran,Senator,521 Dirksen Senate Office Building,,,Washington,DC,20510,
Lisa,Murkowski,Senator,709 Hart Senate Office Building,,,Washington,DC,20510,
Christopher,Murphy,Senator,136 Hart Senate Office Building,,,Washington,DC,20510,
Patty,Murray,Senator,154 Russell Senate Office Building,,,Washington,DC,20510,
Bill,Nelson,Senator,716 Hart Senate Office Building,,,Washington,DC,20510,
Rand,Paul,Senator,167 Russell Senate Office Building,,,Washington,DC,20510,
David,Perdue,Senator,383 Russell Senate Office Building,,,Washington,DC,20510,
Gary,Peters,Senator,724 Hart Senate Office Building,,,Washington,DC,20510,
Rob,Portman,Senator,448 Russell Senate Office Building,,,Washington,DC,20510,
Jack,Reed,Senator,728 Hart Senate Office Building,,,Washington,DC,20510,
Harry,Reid,Senator,522 Hart Senate Office Building,,,Washington,DC,20510,
James E.,Risch,Senator,483 Russell Senate Office Building,,,Washington,DC,20510,
Pat,Roberts,Senator,109 Hart Senate Office Building,,,Washington,DC,20510,
Mike,Rounds,Senator,502 Hart Senate Office Building,,,Washington,DC,20510,
Marco,Rubio,Senator,284 Russell Senate Office Building,,,Washington,DC,20510,
Bernard,Sanders,Senator,332 Dirksen Senate Office Building,,,Washington,DC,20510,
Ben,Sasse,Senator,386 A Russell Senate Office Building,,,Washington,DC,20510,
Brian,Schatz,Senator,722 Hart Senate Office Building,,,Washington,DC,20510,
Charles E.,Schumer,Senator,322 Hart Senate Office Building,,,Washington,DC,20510,
Tim,Scott,Senator,520 Hart Senate Office Building,,,Washington,DC,20510,
Jeff,Sessions,Senator,326 Russell Senate Office Building,,,Washington,DC,20510,
Jeanne,Shaheen,Senator,506 Hart Senate Office Building,,,Washington,DC,20510,
Richard C.,Shelby,Senator,304 Russell Senate Office Building,,,Washington,DC,20510,
Debbie,Stabenow,Senator,731 Hart Senate Office Building,,,Washington,DC,20510,
Daniel,Sullivan,Senator,702 Hart Senate Office Building,,,Washington,DC,20510,
Jon,Tester,Senator,311 Hart Senate Office Building,,,Washington,DC,20510,
John,Thune,Senator,511 Dirksen Senate Office Building,,,Washington,DC,20510,
Thom,Tillis,Senator,185 Dirksen Senate Office Building,,,Washington,DC,20510,
Patrick J.,Toomey,Senator,248 Russell Senate Office Building,,,Washington,DC,20510,
Tom,Udall,Senator,531 Hart Senate Office Building,,,Washington,DC,20510,
David,Vitter,Senator,516 Hart Senate Office Building,,,Washington,DC,20510,
Mark R.,Warner,Senator,475 Russell Senate Office Building,,,Washington,DC,20510,
Elizabeth,Warren,Senator,317 Hart Senate Office Building,,,Washington,DC,20510,
Sheldon,Whitehouse,Senator,530 Hart Senate Office Building,,,Washington,DC,20510,
Roger F.,Wicker,Senator,555 Dirksen Senate Office Building,,,Washington,DC,20510,
Ron,Wyden,Senator,221 Dirksen Senate Office Building,,,Washington,DC,20510,